epoch,loss,classification_loss,group_mmd_loss,fairness_loss
1,0.5913092494010925,0.5912743806838989,0.00017412338638678193,2.1819879236772977e-07
2,0.5624725818634033,0.5624293684959412,0.00021447075414471328,1.031328451972513e-06
3,0.6039226055145264,0.6038550734519958,0.0003338194510433823,2.550903900555568e-06
4,0.5806204676628113,0.5805048942565918,0.0005681117181666195,6.562720500369323e-06
5,0.6068410873413086,0.6066886186599731,0.0007298857672140002,2.162480632250663e-05
6,0.5758249163627625,0.5754761099815369,0.0017061730613932014,2.5261313567170873e-05
7,0.538489818572998,0.5380833745002747,0.001969649689272046,4.1674469684949145e-05
8,0.5401431322097778,0.5392504334449768,0.004164700862020254,0.00019926525419577956
9,0.5373005270957947,0.5361603498458862,0.005468958988785744,0.00015448083286173642
10,0.6084424257278442,0.6072598695755005,0.005316358990967274,0.0003976539592258632
11,0.44430145621299744,0.44338148832321167,0.00415154779329896,0.0002988290798384696
12,0.5077428817749023,0.5044733881950378,0.013746540062129498,0.0017339491751044989
13,0.49072039127349854,0.48935484886169434,0.006081832572817802,0.0004973497707396746
14,0.486730694770813,0.4849826395511627,0.007143939845263958,0.0010642468696460128
15,0.4638141095638275,0.46220725774765015,0.006969680543988943,0.0007096985355019569
16,0.47552791237831116,0.4738941788673401,0.005815037991851568,0.001569064799696207
17,0.45241010189056396,0.4497953951358795,0.011533543467521667,0.0010267212055623531
18,0.47122010588645935,0.465349018573761,0.02548529952764511,0.002580079948529601
19,0.40229332447052,0.3981018364429474,0.01709810085594654,0.0025728903710842133
20,0.4071778953075409,0.40258628129959106,0.019125185906887054,0.002555244602262974
