epoch,loss,classification_loss,mmd_loss
1,0.5912514328956604,0.5912505388259888,4.450479991646716e-06
2,0.5623969435691833,0.5623953342437744,8.185704245988745e-06
3,0.6038054823875427,0.6038035154342651,9.814898476179224e-06
4,0.5804044604301453,0.5804006457328796,1.919269561767578e-05
5,0.6067023277282715,0.6066992282867432,1.5616416931152344e-05
6,0.575453519821167,0.5754253268241882,0.00014098484825808555
7,0.5372247695922852,0.5372211933135986,1.7801919966586865e-05
8,0.53895503282547,0.5389403700828552,7.319450378417969e-05
9,0.5332976579666138,0.5332861542701721,5.7617824495537207e-05
10,0.6064598560333252,0.606302797794342,0.0007853905553929508
11,0.44170477986335754,0.4416867792606354,9.000301361083984e-05
12,0.5038149952888489,0.5036989450454712,0.0005801518564112484
13,0.484420508146286,0.4843323826789856,0.00044055780745111406
14,0.48164117336273193,0.4815440773963928,0.00048553943634033203
15,0.4616336524486542,0.46150797605514526,0.0006283919210545719
16,0.47209781408309937,0.4718371033668518,0.00130351388361305
17,0.44905519485473633,0.448978066444397,0.0003856817784253508
18,0.4645887315273285,0.4645272493362427,0.0003074804844800383
19,0.39694419503211975,0.3969310522079468,6.57637938275002e-05
20,0.40212109684944153,0.401913046836853,0.001040299772284925
